更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
辽宁卫视,http://59.175.8.151:4022/rtp/239.69.1.71:10066$湖北电信
辽宁卫视,http://106.59.2.102:55555/rtp/239.200.200.3:8224$云南电信
黑龙江卫视,http://106.118.75.108:4022/rtp/239.254.200.49:8016$河北省电信
黑龙江卫视,http://117.82.88.137:5555/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://59.175.8.151:4022/rtp/239.254.96.138:8902$湖北电信
黑龙江卫视,http://106.59.2.102:55555/rtp/239.200.200.66:8016$云南电信
吉林卫视,http://106.118.75.108:4022/rtp/239.254.201.15:6339$河北省电信
吉林卫视,http://117.82.88.137:5555/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://59.175.8.151:4022/rtp/239.69.1.212:10914$湖北电信
吉林卫视,http://106.59.2.102:55555/rtp/239.200.200.54:8284$云南电信
宁夏卫视,http://106.59.2.102:55555/rtp/239.200.200.60:8308$云南电信
山西卫视,http://106.59.2.102:55555/rtp/239.200.200.56:8292$云南电信
陕西卫视,http://106.59.2.102:55555/rtp/239.200.200.55:8288$云南电信
甘肃卫视,http://106.59.2.102:55555/rtp/239.200.200.63:8320$云南电信
青海卫视,http://106.59.2.102:55555/rtp/239.200.200.58:8300$云南电信
新疆卫视,http://106.59.2.102:55555/rtp/239.200.200.62:8316$云南电信
西藏卫视,http://106.59.2.102:55555/rtp/239.200.200.61:8312$云南电信
三沙卫视,http://117.82.88.137:5555/rtp/239.49.0.167:8000$江苏电信
三沙卫视,http://106.59.2.102:55555/rtp/239.200.201.136:8140$云南电信
山东教育卫视,http://117.82.88.137:5555/rtp/239.49.0.235:8000$江苏电信
山东教育卫视,http://106.59.2.102:55555/rtp/239.200.201.77:8132$云南电信
中国教育1台,http://106.118.75.108:4022/rtp/239.254.200.225:6259$河北省电信
中国教育1台,http://117.82.88.137:5555/rtp/239.49.8.115:8000$江苏电信
中国教育1台,http://59.175.8.151:4022/rtp/239.69.1.110:10298$湖北电信
中国教育1台,http://106.59.2.102:55555/rtp/239.200.201.145:8852$云南电信
中国教育2台,http://106.59.2.102:55555/rtp/239.200.201.121:8780$云南电信
中国教育4台,http://106.118.75.108:4022/rtp/239.254.200.227:6261$河北省电信
中国教育4台,http://117.82.88.137:5555/rtp/239.49.0.125:8000$江苏电信
中国教育4台,http://106.59.2.102:55555/rtp/239.200.201.122:8784$云南电信

数字频道,#genre#
CHC动作电影,http://59.175.8.151:4022/rtp/239.69.1.242:11094$湖北电信
CHC动作电影,http://106.59.2.102:55555/rtp/239.200.201.31:8144$云南电信
CHC家庭影院,http://59.175.8.151:4022/rtp/239.69.1.243:11100$湖北电信
CHC家庭影院,http://106.59.2.102:55555/rtp/239.200.201.30:8140$云南电信
CHC影迷电影,http://59.175.8.151:4022/rtp/239.69.1.241:11088$湖北电信
CHC影迷电影,http://106.59.2.102:55555/rtp/239.200.201.34:8148$云南电信
凤凰卫视中文台,http://106.118.75.108:4022/rtp/239.254.201.2:5226$河北省电信
凤凰卫视资讯台,http://106.118.75.108:4022/rtp/239.254.201.3:5227$河北省电信
凤凰卫视电影台,http://106.118.75.108:4022/rtp/239.254.201.1:5214$河北省电信
求索纪录,http://106.118.75.108:4022/rtp/239.254.201.176:7221$河北省电信
金鹰纪实,http://106.118.75.108:4022/rtp/239.254.200.189:6293$河北省电信
